MetricId,React Query mapped metrics,React Context mapped metrics,Redux Toolkit mapped metrics,Recoil mapped metrics,MobX mapped metrics
1a.1.2,1,5,5,1,5
1a.1.3,5,5,3,5,1
1a.2.2,5,5,5,5,5
1a.2.4,1,1,2,1,1
1a.2.6,3,3,5,3,3
1a.2.7,5,1,5,1,1
1a.2.8,3,5,3,5,5
1a.2.9,1,1,1,1,1
1a.2.10,3,3,5,5,1
1a.2.11,5,5,5,5,5
1a.3.1,5,5,5,3,1
1b.1.1,3,3,5,5,3
1b.3.1,1,1,5,5,5
1b.5.1,4,1,5,1,4
1b.6.1,1,1,1,1,1
1b.6.2,3,3,3,4,3
1b.6.3,4,4,4,4,4
1d.1.1,5,5,5,5,5
1d.1.2,5,3,5,5,5
1d.2.3,1,1,5,1,1
1d.3.1,3,4,5,3,3
1d.3.2,4,5,5,5,3
1d.3.3,3,2,3,3,2
1e.2.1,3,3,5,5,3
1f.1.1,1,1,1,1,1
1f.1.2,1,1,1,1,1
1f.1.3,1,1,1,1,1
1f.1.4,1,1,1,1,1
1f.1.5,1,1,1,1,1
1f.1.6,1,1,1,1,1
1f.2.1,3,1,3,5,5
2.1.1,5,4,3,3,4
2.2.2,4,5,4,4,4
2.2.3,2,5,3,4,4
2.2.4,4,5,5,4,4
2.2.5,5,5,4,4,5
2.3.1,2,5,2,1,3
2.3.2,3,5,4,5,5
2.3.8,5,4,5,5,5
2.3.9,1,1,5,1,1
2.4.1,5,1,1,1,1
2.4.5,1,1,1,1,1
2.4.9,5,1,1,1,1
2.5.6,5,4,5,5,5
3.2.1,5,5,5,2,4
3.2.2,4,5,4,4,4
3.2.3,5,5,4,4,5
3.2.7,5,1,1,1,5
3.2.8,1,5,5,1,5
3.2.10,3,3,3,1,3
3.2.11,5,1,5,1,5
3.4.1,5,5,5,5,5
